what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1282250946999
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1282250947006
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1282250947020
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1282250947052
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1282250947128
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1282250947142
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1282250947158
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1282250947158
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1282250947165
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1282250947174
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1282250947174
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1282250947188
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1282250947193
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1282250947198
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1282250947199
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1282250947240
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1282250947273
started,bundle,org.eclipse.pde,3.6.0.v201006080911,"org.eclipse.pde",1282250947273
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1282250947276
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1282250947282
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1282250947318
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1282250947368
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1282250947381
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1282250947391
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1282250947421
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1282250947438
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1282250947482
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1282250947485
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1282250947510
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1282250947565
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1282250947566
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1282250947599
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1282250947618
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1282250947665
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1282250947672
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1282250947696
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1282250947723
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1282250947724
started,bundle,org.eclipse.jet.ui,1.0.0.v200906120900,"org.eclipse.jet.ui",1282250947738
started,bundle,org.eclipse.egit.core,0.9.0.201008112114,"org.eclipse.egit.core",1282250947745
started,bundle,org.eclipse.egit.ui,0.9.0.201008112114,"org.eclipse.egit.ui",1282250947755
started,bundle,org.eclipse.jgit,0.9.0.201008111758,"org.eclipse.jgit",1282250947756
started,bundle,org.eclipse.team.svn.core,0.7.9.I20100512-1900,"org.eclipse.team.svn.core",1282250947758
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20100512-1900,"org.eclipse.team.svn.mylyn",1282250947758
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui",1282250947767
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1282250947769
os,sysinfo,,,"linux",1282250947778
arch,sysinfo,,,"x86",1282250947778
ws,sysinfo,,,"gtk",1282250947778
locale,sysinfo,,,"en_US",1282250947778
processors,sysinfo,,,"2",1282250947779
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1282250947779
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1282250947779
java.specification.name,sysinfo,,,"Java Platform API Specification",1282250947779
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1282250947779
java.specification.version,sysinfo,,,"1.6",1282250947779
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1282250947779
java.version,sysinfo,,,"1.6.0_18",1282250947779
java.vm.info,sysinfo,,,"mixed mode, sharing",1282250947779
java.vm.name,sysinfo,,,"OpenJDK Client VM",1282250947779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1282250947779
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1282250947779
java.vm.specification.version,sysinfo,,,"1.0",1282250947779
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1282250947779
java.vm.version,sysinfo,,,"16.0-b13",1282250947779
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1282250949577
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1282250949592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282251251635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282251670886
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282251672289
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282258566127
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282258566284
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1282258567982
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1282258568068
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1282258568069
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1282258568087
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1282258568103
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1282258568108
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1282258568122
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1282258568132
stopped,bundle,org.eclipse.rap.ui.launch,1.3.0.20100615-1734,"org.eclipse.rap.ui.launch",1282258568141
stopped,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1282258568141
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1282258568156
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1282258568161
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1282258568162
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1282258568174
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1282258568185
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1282258568189
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1282258568190
activated,perspective,org.eclipse.pde.ui,,"org.eclipse.pde.ui.PDEPerspective",1282548693655
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1282548693657
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1282548693657
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1282548693800
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1282548693862
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1282548694025
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1282548694072
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1282548694079
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1282548694080
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1282548694107
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1282548694108
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1282548694161
